,filenames,binids
1061,tc0168§0018,2
1062,tc0176§0037,4
1063,tc0131§0007,0
1064,tc0139§0033,3
1065,tc0180§0003,0
1066,tc0162§0028,3
1067,tc0139§0012,1
1068,tc0130§0030,3
1069,tc0187§0028,2
1070,tc0131§0014,1
1071,tc0191§0039,4
1072,tc0162§0031,3
1073,tc0176§0013,1
1074,tc0189§0021,2
1075,tc0155§0039,4
1076,tc0154§0038,4
1077,tc0153§0013,1
1078,tc0132§0017,2
1079,tc0152§0028,3
1080,tc0148§0039,4
1081,tc0147§0031,3
1082,tc0167§0034,3
1083,tc0150§0002,0
1084,tc0132§0036,4
1085,tc0189§0010,1
1086,tc0179§0033,3
1087,tc0146§0043,4
1088,tc0148§0027,3
1089,tc0136§0003,0
1090,tc0162§0010,1
1091,tc0152§0035,4
1092,tc0167§0020,2
1093,tc0153§0039,4
1094,tc0143§0033,3
1095,tc0148§0032,3
1096,tc0143§0020,2
1097,tc0153§0005,0
1098,tc0162§0041,4
1099,tc0187§0034,3
1100,tc0167§0040,4
1101,tc0143§0021,2
1102,tc0155§0043,4
1103,tc0174§0023,2
1104,tc0152§0031,3
1105,tc0154§0041,4
1106,tc0160§0031,3
1107,tc0139§0002,0
1108,tc0164§0002,0
1109,tc0187§0020,2
1110,tc0179§0007,0
1111,tc0152§0018,2
1112,tc0179§0002,0
1113,tc0167§0023,2
1114,tc0132§0009,1
1115,tc0150§0019,2
1116,tc0168§0017,1
1117,tc0189§0004,0
1118,tc0153§0035,3
1119,tc0164§0023,2
1120,tc0191§0032,3
1121,tc0139§0003,0
1122,tc0180§0027,2
1123,tc0189§0043,4
1124,tc0180§0036,3
1125,tc0178§0036,4
1126,tc0188§0042,4
1127,tc0132§0033,3
1128,tc0164§0015,1
1129,tc0167§0045,4
1130,tc0189§0037,3
1131,tc0174§0008,0
1132,tc0189§0026,2
1133,tc0150§0034,4
1134,tc0139§0005,0
1135,tc0174§0027,3
1136,tc0189§0040,4
1137,tc0168§0030,3
1138,tc0147§0028,3
1139,tc0132§0034,4
1140,tc0167§0033,3
1141,tc0187§0042,4
1142,tc0136§0010,1
1143,tc0158§0024,2
1144,tc0189§0045,4
1145,tc0189§0029,3
1146,tc0168§0014,1
1147,tc0148§0020,2
